sub,alpha_ind,eta_ind,sigma_ind_pre
sub1053,0.1956725911875,0.2067092437375,0.0580926840375
sub1055,0.8959613617500001,0.4577830355,0.0960301807375
sub1057,0.569252046875,0.384061479625,0.0823085204
sub1058,7.91072595,0.825899149625,0.0927344350875
sub106,0.900908482875,0.7428623058749999,0.039847684024999996
sub1060,3.49685275,0.6210852822499999,0.09087421731249999
sub1061,47.6646033375,0.44116727075,0.0732555845375
sub1064,1.961842717625,0.5344855683749999,0.0993343716
sub1065,1.251565105375,0.42956691,0.0727575010625
sub1067,20.8543900425,0.8265266363749999,0.058269457950000006
sub1068,7.4168987075,0.848917088125,0.0778555776125
sub1069,0.25001110235,0.257936560475,0.08564073918750001
sub107,0.88840404075,0.4829000185,0.10994965985
sub1072,1.24115625875,0.6689572930000001,0.0833957164375
sub1074,0.860150212375,0.59070592575,0.0697022426
sub1075,4.640443485,0.6497983355,0.10439371894999999
sub1076,2.51610296,0.317090454,0.12168130134999999
sub1077,1.399489887875,0.75635741875,0.0565604848
sub1078,5.5572098812499995,0.03346903221625,0.17442337025000001
sub108,1.136766234875,0.2640295735,0.09462401941250001
sub1081,0.278327019325,0.492012814125,0.0422423141625
sub1082,0.8292346952499999,0.630490435875,0.0593588502125
sub1083,0.485385646625,0.6192754636250001,0.0615638523625
sub1085,1.1989636026250001,0.6446297321250001,0.0887488395125
sub1086,1.37289045825,0.059409894162500004,0.140971185625
sub1087,0.1174186073875,0.5796625115,0.035931027425000005
sub1088,56.295811862499995,0.558107374125,0.1012827459
sub1089,0.856249406,0.52508858875,0.1243921339625
sub109,1.3537550726249998,0.6611926462500001,0.07437199261249999
sub1090,0.3399281614875,0.54570607225,0.047396192587500004
sub1091,1.8876463866250002,0.771280568625,0.0614110789625
sub1092,4.263878480000001,0.6244883378749999,0.070431310375
sub1093,0.20165715985,0.39412790200000003,0.04568226475
sub1095,5.99470082875,0.748284030875,0.13104353072500002
sub1099,0.7542033096249999,0.6639209426249999,0.07768856152499999
sub11,1.3546897825000002,0.889652662625,0.0423067986125
sub110,0.38826693636250004,0.510120952875,0.0489670308125
sub1101,0.749642614125,0.62132914725,0.0563256655875
sub1102,0.5903736447500001,0.42177908774999995,0.098712743925
sub1106,0.673619866,0.244790181625,0.1239965248125
sub1107,59.72958125,0.37701331475,0.10968284907499999
sub1109,0.96004468725,0.1048597806375,0.12426549676250001
sub111,1.83388090675,0.603505255875,0.0989783295375
sub1111,0.1809667454625,0.3192264142625,0.044233189325
sub1112,3.729253515125,0.81967542125,0.07431851253749999
sub1113,0.63648889775,0.536731146375,0.0604617901625
sub1114,6.016344699999999,0.708947870625,0.091374037
sub1115,0.837453641875,0.709275828125,0.051776603225
sub1116,0.29035823368749997,0.47870121,0.0669104933375
sub1117,0.482719500116625,0.8892096272500001,0.1327192046
sub1119,1.5199450486250001,0.29655866012500004,0.109938216575
sub112,0.653742933125,0.552274395375,0.071717827375
sub1122,0.381789489725,0.56192853975,0.0662633146125
sub1124,3.23634788,0.620411644875,0.11693463345
sub1126,1.0225496985,0.73990157675,0.061368581900000004
sub1127,4.859299904999999,0.685283874125,0.083038357875
sub1128,1.62790817925,0.5861910672499999,0.0788162517875
sub1129,1.1241194565000001,0.733828173625,0.07704856793749999
sub113,1.085874644875,0.6466134775000001,0.079513281625
sub1130,0.812602343875,0.41926590937499997,0.07609365105
sub1131,1.7842488586249998,0.340457574125,0.09412649821249999
sub1132,3.7492724025000004,0.592832211125,0.1017696716875
sub1134,9.39191854375,0.830979381875,0.0868707696125
sub1135,0.900853501375,0.473423306125,0.06023967485
sub1136,0.47050174,0.2118228595875,0.10450264278749999
sub1138,29.886894075,0.78541827925,0.055515078625
sub114,1.3535524633749998,0.35225793299999997,0.136980303925
sub1140,0.1925838047875,0.67242877125,0.060295577237499995
sub1141,1.504686373875,0.519283502,0.104769958025
sub1142,0.10790827233625,0.6871409672500001,0.057424549925
sub1147,2.2814696471249998,0.6142871464999999,0.131818845375
sub1149,0.1930593226625,0.477753219625,0.042046197237500006
sub115,3.6500241975,0.478291305,0.09265969807499999
sub1150,0.927646009875,0.426720144375,0.0659928465375
sub1151,1.0564086292500001,0.70271423625,0.0621021717
sub1152,2.50539166375,0.44024748799999996,0.11002045368749999
sub1153,0.744102832,0.6673602401250001,0.0553132795125
sub1154,4.036951391250001,0.81181584025,0.0702598571
sub1155,0.323087884775,0.5309585272499999,0.0719652839875
sub1156,129.22476757500002,0.188676476625,0.1238929915375
sub1157,1.289842196625,0.593174943,0.0733229392875
sub116,0.423353539125,0.6625883275,0.03684642235
sub1160,1.228632024875,0.52854460575,0.0804495563875
sub1162,1.192679439,0.566208793125,0.0705275646875
sub1163,3.39578782625,0.40778847287500003,0.0789571043625
sub1164,0.598158775,0.47184797537499995,0.0749405805625
sub1165,3.2624408575,0.623978089125,0.0698563488125
sub1166,15.676562783749999,0.8454645437499999,0.07831640063749999
sub1167,67.180798325,0.26414609875,0.066113869175
sub1168,0.27937181226249996,0.29463710737500004,0.062746934475
sub1169,0.8791607810000001,0.538032905,0.092990836125
sub117,1.2282572856249998,0.508606647,0.0897771471375
sub1170,0.2475422292625,0.3500153265,0.061249380375
sub1174,5.968860068750001,0.5678616356249999,0.0768042753625
sub1176,1.016956161625,0.6367382745,0.074979318875
sub1178,0.365505032625,0.447851524875,0.0494108399625
sub1179,0.423275423625,0.578716531125,0.0503405660625
sub118,0.16869478091249998,0.496148984125,0.0377435974625
