sub,alpha_ind,sigma_ind_pre
sub1069,0.135072344525,0.0749795146625
sub107,0.2696167967,0.0844517296875
sub1072,0.1427325677,0.056601267149999995
sub1074,0.1651717839375,0.0551098532125
sub1075,0.5455820038750001,0.0669476288625
sub1076,0.974715778125,0.0888449913125
sub1077,0.1243058291125,0.0437802322625
sub1078,4.3259420225000005,0.15227745275000001
sub108,0.488129044625,0.07261780697499999
sub1081,0.04489635209625,0.03148482685
sub1082,0.11718241297500001,0.0449128550875
sub1083,0.065139301875,0.04654848165
sub1085,0.1870572677375,0.06613294858749999
sub1086,1.075826893625,0.1253013231375
sub1087,0.014656718942499999,0.0283076606125
sub1088,4.41384167375,0.060040982624999996
sub1089,0.2209188032,0.0894676730125
sub109,0.16273434305,0.053102637524999996
sub1090,0.052833530940000005,0.0365244050125
sub1091,0.146885934075,0.046916597125
sub1092,0.5497811323749999,0.0496721127
sub1093,0.04910311931,0.0362848461375
sub1095,0.388595741125,0.06944462631250001
sub1099,0.1155934347625,0.05905451535
sub11,0.0777070476625,0.037694747925
sub110,0.059772982249999995,0.0355131451625
sub1101,0.11440605897499999,0.0447039116
sub1102,0.18789305595,0.07509901185
sub1106,0.36569135999999997,0.09931340483750001
sub1107,8.12748608125,0.0622323484125
sub1109,0.7048638201249999,0.1095528317375
sub111,0.333942678375,0.07170583561249999
sub1111,0.04815550724375,0.034951232975
sub1112,0.23617690105,0.057073073525
sub1113,0.11334881975000001,0.0455708726375
sub1114,0.466122023125,0.0579152429125
sub1115,0.090638952225,0.0398861617875
sub1116,0.06732006063750001,0.052812043025
sub1117,0.00853028402667875,0.065924646175
sub1119,0.6664166775,0.0850717016625
sub112,0.133669142225,0.055876168837500004
sub1122,0.0635617832125,0.049845893349999996
sub1124,0.3824272795,0.067693112875
sub1126,0.0920787933625,0.046332773362499996
sub1127,0.52532819275,0.058187772425
sub1128,0.22922251195,0.053649210187500004
sub1129,0.0933115776625,0.0539043881875
sub113,0.1753758517375,0.061904342925
sub1130,0.2374941700375,0.058967800099999995
sub1131,0.6001831368749999,0.07008927821250001
sub1132,0.49489605125,0.0643585103875
sub1134,0.42838879125,0.059727441937499993
sub1135,0.1875117370875,0.044292217287500005
sub1136,0.26180874573749996,0.0869432644875
sub1138,1.287700147875,0.042735344725
sub114,0.474450158625,0.0968453436875
sub1140,0.01448887395125,0.042883462350000005
sub1141,0.32391796675,0.07190759085000001
sub1142,0.015279404868749999,0.048237033725
sub1147,0.40593267175,0.090586401625
sub1149,0.02922473879625,0.031502787824999996
sub115,0.69995797125,0.0603687355125
sub1150,0.2393707584625,0.0502276378375
sub1151,0.0981195406125,0.0450964156
sub1152,0.650519029375,0.07423083191249999
