sub,alpha_ind,beta_ind,sigma_ind_pre
sub1344,0.707335114875,30.4690528125,0.0662952763375
sub1345,1.642030363375,44.6832425375,0.0846008380625
sub1346,31.06250655,80.663874175,0.09034769886249999
sub1347,3.22033583175,90.6145975,0.06519355084999999
sub135,8.51336725,98.355632325,0.07101454053749999
sub1350,0.671702884125,72.334102425,0.049027599375
sub1351,3.1322556975,57.65339505,0.0736686049375
sub1352,1.12996456875,28.5244899375,0.1093628911625
sub1353,3.4084643150000002,82.5228833,0.0866820139875
sub1354,2.155001449375,27.01673095,0.10773206943750001
sub1355,1.444889341875,32.810620587500004,0.07106546175
sub1356,8.48051853375,114.7609082875,0.07345375261249999
sub1357,0.652129943125,3.870445069125,0.1059728332375
sub1358,0.76780559525,32.5609089875,0.09341827378749999
sub136,1.270387503,62.0645758,0.049415434075
sub1360,1.420704416,51.327965625,0.077424793425
sub1361,0.9677456478750001,30.979088637500002,0.065970271225
sub1362,0.39386609026249997,46.2713565825,0.044970784525
sub1363,3.2992391225,122.4271076,0.0507926727625
sub1365,1.61425669675,6.29827040375,0.126670114475
sub1367,0.6444617935,56.28021825,0.0446327014875
sub1368,0.5510295986249999,55.306214125,0.047413209775
sub137,0.78110179775,37.176150925,0.07007741470000001
sub1370,5.30728851875,100.5465202,0.09458395227500001
sub1371,2.33281677,47.8959885375,0.07590663612500001
sub1373,5.9701046162499996,54.166200462499994,0.08483502815
sub1374,0.4036275745,21.03096574,0.0408494851
sub1375,3.32453132625,69.5735620375,0.0804111678
sub1376,2.022107146875,22.3323587125,0.11596406740000001
sub1378,7.5944827625,78.4446396875,0.09816192578749999
sub1379,2.77694295875,20.84709795,0.1397095785
sub138,6.41888723,98.3249343625,0.1303646805375
sub1380,3.08927681125,35.5213318125,0.12495559312499999
sub1381,0.782816487875,37.977972175000005,0.059953072825
sub1382,1.393230228875,56.770585312499996,0.062407454774999996
sub1383,4.89602520625,70.2518990625,0.0855052532375
sub1384,1.62182715475,78.74229395,0.059319362949999996
sub1386,1.635894249,78.07295093750001,0.0790760122625
sub1387,1.807737994625,73.623591275,0.081742080375
sub1388,1.2348436105,79.1171798,0.053594793950000004
sub139,1.2123590805,32.7356749,0.0652207670375
sub1390,3.6959278949999996,67.7138630625,0.0823956451625
sub1391,0.488909256025,33.603017286249994,0.0908832271875
sub1392,2.3407757324999996,18.99496848625,0.1111067397375
sub1393,2.121622197125,100.329149225,0.0679738977625
sub1394,2.1579347578749997,245.85090787500002,0.0662757289375
sub1395,1.011338482125,14.379166773749999,0.110041197
sub1397,5.58950544,66.66488336249999,0.1045126927875
sub1398,0.463561852725,64.74750329999999,0.041119106625
sub1399,0.9028709364999999,88.3534810875,0.0754389220125
sub14,0.878014214375,57.6280157375,0.0478369184625
sub140,1.571848477,12.256395506250001,0.1405284268
