sub,alpha_ind,lambda_ind,sigma_ind_pre
sub1156,3.50888362625,0.57180945625,0.20446982567500002
sub1157,0.0574969430875,0.260160534125,0.070118417775
sub116,0.01357531557125,0.1893370425,0.03329507063749999
sub1160,0.1186866454125,0.14534552063749998,0.0794228991
sub1162,0.0617229982625,0.23732241725,0.06765195006250001
sub1163,0.157117112925,0.44161365287500004,0.09085272367500001
sub1164,0.0805712206625,0.11626039371250001,0.0748656406375
sub1165,0.0583685232375,0.54678998275,0.07024734355
sub1166,0.060906257075,0.716509854625,0.090434775425
sub1167,1.058659279875,0.892041131875,0.0971472994625
sub1168,0.069780700975,0.07503726955250001,0.060535126325
sub1169,0.10884107015,0.1193760963125,0.09539688495
sub117,0.17214603376249998,0.09339461423749999,0.08844068015
sub1170,0.06547199537500001,0.0632688393875,0.060701145500000005
sub1174,0.1038734677,0.5802664036249999,0.0809748058375
sub1176,0.0799159372875,0.1441600546875,0.076464449125
sub1178,0.0324718226725,0.16724221106249998,0.046922911475
sub1179,0.042772930525,0.0988482713875,0.0478254566125
sub118,0.01706332574375,0.092914483825,0.034137951874999996
sub1183,0.2511723468,0.04834099052,0.08918532428749999
sub1184,0.061606163162500005,0.32266938512500004,0.0874065321125
sub1186,0.0170222732475,0.205376196875,0.034896476612500005
sub1187,0.026906549093750003,0.7817552170000001,0.05255027795
sub1189,0.081956210775,0.211899472125,0.070901896925
sub119,0.33902053137500004,0.35851967,0.11607031976250001
sub1190,0.0843739557875,0.070949304075,0.0656637257875
sub1192,0.2918360075,0.013965504138249998,0.081419396025
sub1194,0.065153262025,0.266771595875,0.0687452934625
sub1196,2.266836054625,1.89974845875,0.08921730478749999
sub1197,0.2051054559875,0.17947808675,0.16238142375
sub1198,2.4692827125,0.1308829692875,0.251181025125
sub12,0.143283088,0.010827893830125,0.06671848305
sub120,0.018135581093750002,0.1736805953875,0.048762044600000005
sub1200,0.0364137682925,0.27344224987500004,0.0640468365875
sub1201,0.008562293608875001,0.1612693371875,0.0366626789875
sub1202,0.02047930807125,0.11551644341249999,0.0404394600375
sub1204,0.12193036777499999,0.532617756375,0.07165977205
sub1207,0.483944018,0.06697115345,0.143479099975
sub1208,0.052314429325,0.16430499031249998,0.06845124767500001
sub1209,0.0910370220125,0.306275588875,0.1547552438
sub121,0.17396993375,0.159552296625,0.113503129125
sub1210,0.01584900839625,0.551292794625,0.0664941734375
sub1214,0.044022508287500005,0.389354446375,0.0619968343125
sub1215,0.0518905116875,0.14511966195,0.070735023875
sub1216,0.073845239575,0.227362580125,0.0724514282875
sub1218,0.0582151854,0.26106278912499997,0.0702810056125
sub122,0.03264549512,0.15493992572499998,0.0552196247125
sub1220,0.03945779145,0.177798839625,0.052808278874999996
sub1221,0.049217041375,0.22160328375,0.0646735679375
sub1224,0.09861318185000001,0.8980541465,0.06671630465
sub1226,0.2106291932625,0.021055671108999998,0.0748470373875
sub1227,0.333482767,0.0832027981125,0.1195730850375
sub1229,0.149938882775,0.0469495761,0.059868075325
sub123,0.014302662213750001,0.146608013575,0.0359743075375
sub1230,0.040463881965,0.195140210875,0.054817947150000004
sub1232,0.191337935825,0.08882419312499999,0.104765349175
sub1234,0.046499171296249996,0.12241216683749999,0.0531870715625
sub1235,0.0803270981875,0.1055511080375,0.07470714472500001
sub1236,9.83764566125,0.0126795962269375,0.17064771450000002
sub1237,0.11350316954999999,0.031354059241125,0.0713852175
sub1239,0.078406085425,0.02080566776425,0.0448366119125
sub124,0.1188607253125,0.099054061425,0.06440464828749999
sub1240,0.17800398082500002,0.0710540137875,0.0969492922625
sub1241,0.060571837587499996,0.1574649212,0.06986120225
sub1242,0.0568338927375,0.42417496675,0.1205541933
sub1244,0.073238326625,0.05737459351625,0.06924771402499999
sub1245,0.0309154004125,0.259034552875,0.0432427736
sub1246,0.10575959111250001,0.0711763821,0.09028466235
